00000012,Angel Star (1)
00000013,Angel Star (2)
00000014,Angel Star (3)
00000015,Angel Star (4)
00000016,Angel Star (Sacred)
00000017,Axe (1)
00000018,Axe (2)
00000019,Axe (3)
0000001A,Axe (4)
0000001B,Axe (Sacred)
0000001C,Backsword (1)
0000001D,Backsword (2)
0000001E,Backsword (3)
0000001F,Backsword (4)
00000020,Backsword (Sacred)
00000021,Balanced Axe (1)
00000022,Balanced Axe (2)
00000023,Balanced Axe (3)
00000024,Balanced Axe (4)
00000025,Balanced Axe (Sacred)
00000026,Balanced Knife (1)
00000027,Balanced Knife (2)
00000028,Balanced Knife (3)
00000029,Balanced Knife (4)
0000002A,Balanced Knife (Sacred)
00000030,Bastard Sword (1)
00000031,Bastard Sword (2)
00000032,Bastard Sword (3)
00000033,Bastard Sword (4)
00000034,Bastard Sword (Sacred)
00000035,Battle Axe (1)
00000036,Battle Axe (2)
00000037,Battle Axe (3)
00000038,Battle Axe (4)
00000039,Battle Axe (Sacred)
0000003A,Battle Staff (1)
0000003B,Battle Staff (2)
0000003C,Battle Staff (3)
0000003D,Battle Staff (4)
0000003E,Battle Staff (Sacred)
0000003F,Blade (1)
00000040,Blade (2)
00000041,Blade (3)
00000042,Blade (4)
00000043,Blade (Sacred)
00000044,Blade Talons (1)
00000045,Blade Talons (2)
00000046,Blade Talons (3)
00000047,Blade Talons (4)
00000048,Blade Talons (Sacred)
00000049,Bone Wand (1)
0000004A,Bone Wand (2)
0000004B,Bone Wand (3)
0000004C,Bone Wand (4)
0000004D,Bone Wand (Sacred)
0000004E,Bonebreaker (1)
0000004F,Bonebreaker (2)
00000050,Bonebreaker (3)
00000051,Bonebreaker (4)
00000052,Bonebreaker (Sacred)
00000053,BoneSplitter (1)
00000054,BoneSplitter (2)
00000055,BoneSplitter (3)
00000056,BoneSplitter (4)
00000057,BoneSplitter (Sacred)
00000058,Brandistock (1)
00000059,Brandistock (2)
0000005A,Brandistock (3)
0000005B,Brandistock (4)
0000005C,Brandistock (Sacred)
0000005D,Broad Axe (1)
0000005E,Broad Axe (2)
0000005F,Broad Axe (3)
00000060,Broad Axe (4)
00000061,Broad Axe (Sacred)
00000062,Broad Sword (1)
00000063,Broad Sword (2)
00000064,Broad Sword (3)
00000065,Broad Sword (4)
00000066,Broad Sword (Sacred)
00000067,Bronze Sword (1)
00000068,Bronze Sword (2)
00000069,Bronze Sword (3)
0000006A,Bronze Sword (4)
0000006B,Bronze Sword (Sacred)
0000006C,Cestus (1)
0000006D,Cestus (2)
0000006E,Cestus (3)
0000006F,Cestus (4)
00000070,Cestus (Sacred)
00000071,Clasped Orb (1)
00000072,Clasped Orb (2)
00000073,Clasped Orb (3)
00000074,Clasped Orb (4)
00000075,Clasped Orb (Sacred)
00000076,Claws (1)
00000077,Claws (2)
00000078,Claws (3)
00000079,Claws (4)
0000007A,Claws (Sacred)
0000007B,Claymore (1)
0000007C,Claymore (2)
0000007D,Claymore (3)
0000007E,Claymore (4)
0000007F,Claymore (Sacred)
00000080,Club (1)
00000081,Club (2)
00000082,Club (3)
00000083,Club (4)
00000084,Club (Sacred)
00000085,Composite Bow (1)
00000086,Composite Bow (2)
00000087,Composite Bow (3)
00000088,Composite Bow (4)
00000089,Composite Bow (Sacred)
0000008A,Compound Bow (1)
0000008B,Compound Bow (2)
0000008C,Compound Bow (3)
0000008D,Compound Bow (4)
0000008E,Compound Bow (Sacred)
0000008F,Crossbow (1)
00000090,Crossbow (2)
00000091,Crossbow (3)
00000092,Crossbow (4)
00000093,Crossbow (Sacred)
00000094,Crystal Sword (1)
00000095,Crystal Sword (2)
00000096,Crystal Sword (3)
00000097,Crystal Sword (4)
00000098,Crystal Sword (Sacred)
00000099,Dagger (1)
0000009A,Dagger (2)
0000009B,Dagger (3)
0000009C,Dagger (4)
0000009D,Dagger (Sacred)
0000009E,Dart Thrower (1)
0000009F,Dart Thrower (2)
000000A0,Dart Thrower (3)
000000A1,Dart Thrower (4)
000000A2,Dart Thrower (Sacred)
000000A3,Dirk (1)
000000A4,Dirk (2)
000000A5,Dirk (3)
000000A6,Dirk (4)
000000A7,Dirk (Sacred)
000000A8,Double Axe (1)
000000A9,Double Axe (2)
000000AA,Double Axe (3)
000000AB,Double Axe (4)
000000AC,Double Axe (Sacred)
000000AD,Jared's Stone (1)
000000AE,Jared's Stone (2)
000000AF,Jared's Stone (3)
000000B0,Jared's Stone (4)
000000B1,Jared's Stone (Sacred)
000000B2,Eagle Orb (1)
000000B3,Eagle Orb (2)
000000B4,Eagle Orb (3)
000000B5,Eagle Orb (4)
000000B6,Eagle Orb (Sacred)
000000B7,Falchion (1)
000000B8,Falchion (2)
000000B9,Falchion (3)
000000BA,Falchion (4)
000000BB,Falchion (Sacred)
000000BC,Flail (1)
000000BD,Flail (2)
000000BE,Flail (3)
000000BF,Flail (4)
000000C0,Flail (Sacred)
000000C1,Flamberge (1)
000000C2,Flamberge (2)
000000C3,Flamberge (3)
000000C4,Flamberge (4)
000000C5,Flamberge (Sacred)
000000C6,Flamen Staff (1)
000000C7,Flamen Staff (2)
000000C8,Flamen Staff (3)
000000C9,Flamen Staff (4)
000000CA,Flamen Staff (Sacred)
000000CB,Flying Knife (1)
000000CC,Flying Knife (2)
000000CD,Flying Knife (3)
000000CE,Flying Knife (4)
000000CF,Flying Knife (Sacred)
000000D0,Giant Axe (1)
000000D1,Giant Axe (2)
000000D2,Giant Axe (3)
000000D3,Giant Axe (4)
000000D4,Giant Axe (Sacred)
000000D5,Giant Sword (1)
000000D6,Giant Sword (2)
000000D7,Giant Sword (3)
000000D8,Giant Sword (4)
000000D9,Giant Sword (Sacred)
000000DA,Glaive (1)
000000DB,Glaive (2)
000000DC,Glaive (3)
000000DD,Glaive (4)
000000DE,Glaive (Sacred)
000000DF,Gnarled Staff (1)
000000E0,Gnarled Staff (2)
000000E1,Gnarled Staff (3)
000000E2,Gnarled Staff (4)
000000E3,Gnarled Staff (Sacred)
000000E4,Goedendag (1)
000000E5,Goedendag (2)
000000E6,Goedendag (3)
000000E7,Goedendag (4)
000000E8,Goedendag (Sacred)
000000E9,Grand Scepter (1)
000000EA,Grand Scepter (2)
000000EB,Grand Scepter (3)
000000EC,Grand Scepter (4)
000000ED,Grand Scepter (Sacred)
000000EE,Great Axe (1)
000000EF,Great Axe (2)
000000F0,Great Axe (3)
000000F1,Great Axe (4)
000000F2,Great Axe (Sacred)
000000F3,Great Maul (1)
000000F4,Great Maul (2)
000000F5,Great Maul (3)
000000F6,Great Maul (4)
000000F7,Great Maul (Sacred)
000000F8,Great Sword (1)
000000F9,Great Sword (2)
000000FA,Great Sword (3)
000000FB,Great Sword (4)
000000FC,Great Sword (Sacred)
000000FD,Grim Wand (1)
000000FE,Grim Wand (2)
000000FF,Grim Wand (3)
00000100,Grim Wand (4)
00000101,Grim Wand (Sacred)
00000102,Halberd (1)
00000103,Halberd (2)
00000104,Halberd (3)
00000105,Halberd (4)
00000106,Halberd (Sacred)
00000107,Hammerhead Axe (1)
00000108,Hammerhead Axe (2)
00000109,Hammerhead Axe (3)
0000010A,Hammerhead Axe (4)
0000010B,Hammerhead Axe (Sacred)
0000010C,Hand Axe (1)
0000010D,Hand Axe (2)
0000010E,Hand Axe (3)
0000010F,Hand Axe (4)
00000110,Hand Axe (Sacred)
00000111,Hand of God (1)
00000112,Hand of God (2)
00000113,Hand of God (3)
00000114,Hand of God (4)
00000115,Hand of God (Sacred)
00000116,Hatchet Hands (1)
00000117,Hatchet Hands (2)
00000118,Hatchet Hands (3)
00000119,Hatchet Hands (4)
0000011A,Hatchet Hands (Sacred)
0000011B,Heavy Crossbow (1)
0000011C,Heavy Crossbow (2)
0000011D,Heavy Crossbow (3)
0000011E,Heavy Crossbow (4)
0000011F,Heavy Crossbow (Sacred)
00000120,Hexblade (1)
00000121,Hexblade (2)
00000122,Hexblade (3)
00000123,Hexblade (4)
00000124,Hexblade (Sacred)
00000125,Holy Lance (1)
00000126,Holy Lance (2)
00000127,Holy Lance (3)
00000128,Holy Lance (4)
00000129,Holy Lance (Sacred)
0000012A,Hunter's Bow (1)
0000012B,Hunter's Bow (2)
0000012C,Hunter's Bow (3)
0000012D,Hunter's Bow (4)
0000012E,Hunter's Bow (Sacred)
0000012F,Ida (1)
00000130,Ida (2)
00000131,Ida (3)
00000132,Ida (4)
00000133,Ida (Sacred)
00000134,Javelin (1)
00000135,Javelin (2)
00000136,Javelin (3)
00000137,Javelin (4)
00000138,Javelin (Sacred)
00000139,Katar (1)
0000013A,Katar (2)
0000013B,Katar (3)
0000013C,Katar (4)
0000013D,Katar (Sacred)
0000013E,Kriegsmesser (1)
0000013F,Kriegsmesser (2)
00000140,Kriegsmesser (3)
00000141,Kriegsmesser (4)
00000142,Kriegsmesser (Sacred)
00000143,Kriss (1)
00000144,Kriss (2)
00000145,Kriss (3)
00000146,Kriss (4)
00000147,Kriss (Sacred)
00000148,Labrys (1)
00000149,Labrys (2)
0000014A,Labrys (3)
0000014B,Labrys (4)
0000014C,Labrys (Sacred)
0000014D,Large Axe (1)
0000014E,Large Axe (2)
0000014F,Large Axe (3)
00000150,Large Axe (4)
00000151,Large Axe (Sacred)
00000152,Light Crossbow (1)
00000153,Light Crossbow (2)
00000154,Light Crossbow (3)
00000155,Light Crossbow (4)
00000156,Light Crossbow (Sacred)
00000157,Long Battle Bow (1)
00000158,Long Battle Bow (2)
00000159,Long Battle Bow (3)
0000015A,Long Battle Bow (4)
0000015B,Long Battle Bow (Sacred)
0000015C,Long Bow (1)
0000015D,Long Bow (2)
0000015E,Long Bow (3)
0000015F,Long Bow (4)
00000160,Long Bow (Sacred)
00000161,Long Staff (1)
00000162,Long Staff (2)
00000163,Long Staff (3)
00000164,Long Staff (4)
00000165,Long Staff (Sacred)
00000166,Long Sword (1)
00000167,Long Sword (2)
00000168,Long Sword (3)
00000169,Long Sword (4)
0000016A,Long Sword (Sacred)
0000016B,Long War Bow (1)
0000016C,Long War Bow (2)
0000016D,Long War Bow (3)
0000016E,Long War Bow (4)
0000016F,Long War Bow (Sacred)
00000170,Mace (1)
00000171,Mace (2)
00000172,Mace (3)
00000173,Mace (4)
00000174,Mace (Sacred)
00000175,Maiden Javelin (1)
00000176,Maiden Javelin (2)
00000177,Maiden Javelin (3)
00000178,Maiden Javelin (4)
00000179,Maiden Javelin (Sacred)
0000017A,Maiden Pike (1)
0000017B,Maiden Pike (2)
0000017C,Maiden Pike (3)
0000017D,Maiden Pike (4)
0000017E,Maiden Pike (Sacred)
0000017F,Maiden Spear (1)
00000180,Maiden Spear (2)
00000181,Maiden Spear (3)
00000182,Maiden Spear (4)
00000183,Maiden Spear (Sacred)
00000184,Mammen Axe (1)
00000185,Mammen Axe (2)
00000186,Mammen Axe (3)
00000187,Mammen Axe (4)
00000188,Mammen Axe (Sacred)
00000189,Maple Bow (1)
0000018A,Maple Bow (2)
0000018B,Maple Bow (3)
0000018C,Maple Bow (4)
0000018D,Maple Bow (Sacred)
0000018E,Marrow Staff (1)
0000018F,Marrow Staff (2)
00000190,Marrow Staff (3)
00000191,Marrow Staff (4)
00000192,Marrow Staff (Sacred)
00000193,Maul (1)
00000194,Maul (2)
00000195,Maul (3)
00000196,Maul (4)
00000197,Maul (Sacred)
00000198,Military Pick (1)
00000199,Military Pick (2)
0000019A,Military Pick (3)
0000019B,Military Pick (4)
0000019C,Military Pick (Sacred)
0000019D,Morning Star (1)
0000019E,Morning Star (2)
0000019F,Morning Star (3)
000001A0,Morning Star (4)
000001A1,Morning Star (Sacred)
000001A2,Naginata (1)
000001A3,Naginata (2)
000001A4,Naginata (3)
000001A5,Naginata (4)
000001A6,Naginata (Sacred)
000001A7,Needle Crossbow (1)
000001A8,Needle Crossbow (2)
000001A9,Needle Crossbow (3)
000001AA,Needle Crossbow (4)
000001AB,Needle Crossbow (Sacred)
000001AC,Ono (1)
000001AD,Ono (2)
000001AE,Ono (3)
000001AF,Ono (4)
000001B0,Ono (Sacred)
000001B1,Pike (1)
000001B2,Pike (2)
000001B3,Pike (3)
000001B4,Pike (4)
000001B5,Pike (Sacred)
000001B6,Pilum (1)
000001B7,Pilum (2)
000001B8,Pilum (3)
000001B9,Pilum (4)
000001BA,Pilum (Sacred)
000001BB,Raptor Scythe (1)
000001BC,Raptor Scythe (2)
000001BD,Raptor Scythe (3)
000001BE,Raptor Scythe (4)
000001BF,Raptor Scythe (Sacred)
000001C0,Recurve Bow (1)
000001C1,Recurve Bow (2)
000001C2,Recurve Bow (3)
000001C3,Recurve Bow (4)
000001C4,Recurve Bow (Sacred)
000001C5,Reflex Bow (1)
000001C6,Reflex Bow (2)
000001C7,Reflex Bow (3)
000001C8,Reflex Bow (4)
000001C9,Reflex Bow (Sacred)
000001CA,Repeating Crossbow (1)
000001CB,Repeating Crossbow (2)
000001CC,Repeating Crossbow (3)
000001CD,Repeating Crossbow (4)
000001CE,Repeating Crossbow (Sacred)
000001CF,Saber (1)
000001D0,Saber (2)
000001D1,Saber (3)
000001D2,Saber (4)
000001D3,Saber (Sacred)
000001D4,Sacred Globe (1)
000001D5,Sacred Globe (2)
000001D6,Sacred Globe (3)
000001D7,Sacred Globe (4)
000001D8,Sacred Globe (Sacred)
000001D9,Scepter (1)
000001DA,Scepter (2)
000001DB,Scepter (3)
000001DC,Scepter (4)
000001DD,Scepter (Sacred)
000001DE,Scimitar (1)
000001DF,Scimitar (2)
000001E0,Scimitar (3)
000001E1,Scimitar (4)
000001E2,Scimitar (Sacred)
000001E3,Scissors Katar (1)
000001E4,Scissors Katar (2)
000001E5,Scissors Katar (3)
000001E6,Scissors Katar (4)
000001E7,Scissors Katar (Sacred)
000001E8,Scythe (1)
000001E9,Scythe (2)
000001EA,Scythe (3)
000001EB,Scythe (4)
000001EC,Scythe (Sacred)
000001ED,Serpent Bow (1)
000001EE,Serpent Bow (2)
000001EF,Serpent Bow (3)
000001F0,Serpent Bow (4)
000001F1,Serpent Bow (Sacred)
000001F2,Short Battle Bow (1)
000001F3,Short Battle Bow (2)
000001F4,Short Battle Bow (3)
000001F5,Short Battle Bow (4)
000001F6,Short Battle Bow (Sacred)
000001F7,Short Box (1)
000001F8,Short Box (2)
000001F9,Short Box (3)
000001FA,Short Box (4)
000001FB,Short Box (Sacred)
000001FC,Short Spear (1)
000001FD,Short Spear (2)
000001FE,Short Spear (3)
000001FF,Short Spear (4)
00000200,Short Spear (Sacred)
00000201,Short Staff (1)
00000202,Short Staff (2)
00000203,Short Staff (3)
00000204,Short Staff (4)
00000205,Short Staff (Sacred)
00000206,Short Sword (1)
00000207,Short Sword (2)
00000208,Short Sword (3)
00000209,Short Sword (4)
0000020A,Short Sword (Sacred)
0000020B,Short War Bow (1)
0000020C,Short War Bow (2)
0000020D,Short War Bow (3)
0000020E,Short War Bow (4)
0000020F,Short War Bow (Sacred)
00000210,Smoked Sphere (1)
00000211,Smoked Sphere (2)
00000212,Smoked Sphere (3)
00000213,Smoked Sphere (4)
00000214,Smoked Sphere (Sacred)
00000215,Spatha (1)
00000216,Spatha (2)
00000217,Spatha (3)
00000218,Spatha (4)
00000219,Spatha (Sacred)
0000021A,Spear (1)
0000021B,Spear (2)
0000021C,Spear (3)
0000021D,Spear (4)
0000021E,Spear (Sacred)
0000021F,Spetum (1)
00000220,Spetum (2)
00000221,Spetum (3)
00000222,Spetum (4)
00000223,Spetum (Sacred)
00000224,Spiked Club (1)
00000225,Spiked Club (2)
00000226,Spiked Club (3)
00000227,Spiked Club (4)
00000228,Spiked Club (Sacred)
00000229,Spirit Edge (1)
0000022A,Spirit Edge (2)
0000022B,Spirit Edge (3)
0000022C,Spirit Edge (4)
0000022D,Spirit Edge (Sacred)
0000022E,Stag Bow (1)
0000022F,Stag Bow (2)
00000230,Stag Bow (3)
00000231,Stag Bow (4)
00000232,Stag Bow (Sacred)
00000233,Stinger Crossbow (1)
00000234,Stinger Crossbow (2)
00000235,Stinger Crossbow (3)
00000236,Stinger Crossbow (4)
00000237,Stinger Crossbow (Sacred)
00000238,Tepoztopilli (1)
00000239,Tepoztopilli (2)
0000023A,Tepoztopilli (3)
0000023B,Tepoztopilli (4)
0000023C,Tepoztopilli (Sacred)
0000023D,Throwing Axe (1)
0000023E,Throwing Axe (2)
0000023F,Throwing Axe (3)
00000240,Throwing Axe (4)
00000241,Throwing Axe (Sacred)
00000242,Throwing Knife (1)
00000243,Throwing Knife (2)
00000244,Throwing Knife (3)
00000245,Throwing Knife (4)
00000246,Throwing Knife (Sacred)
00000247,Throwing Spear (1)
00000248,Throwing Spear (2)
00000249,Throwing Spear (3)
0000024A,Throwing Spear (4)
0000024B,Throwing Spear (Sacred)
0000024C,Trebuchet (1)
0000024D,Trebuchet (2)
0000024E,Trebuchet (3)
0000024F,Trebuchet (4)
00000250,Trebuchet (Sacred)
00000251,Trident (1)
00000252,Trident (2)
00000253,Trident (3)
00000254,Trident (4)
00000255,Trident (Sacred)
00000256,Two-Handed Sword (1)
00000257,Two-Handed Sword (2)
00000258,Two-Handed Sword (3)
00000259,Two-Handed Sword (4)
0000025A,Two-Handed Sword (Sacred)
0000025B,Valaska (1)
0000025C,Valaska (2)
0000025D,Valaska (3)
0000025E,Valaska (4)
0000025F,Valaska (Sacred)
00000260,Viper Bow (1)
00000261,Viper Bow (2)
00000262,Viper Bow (3)
00000263,Viper Bow (4)
00000264,Viper Bow (Sacred)
0000026A,Wand (1)
0000026B,Wand (2)
0000026C,Wand (3)
0000026D,Wand (4)
0000026E,Wand (Sacred)
0000026F,War Axe (1)
00000270,War Axe (2)
00000271,War Axe (3)
00000272,War Axe (4)
00000273,War Axe (Sacred)
00000274,War Hammer (1)
00000275,War Hammer (2)
00000276,War Hammer (3)
00000277,War Hammer (4)
00000278,War Hammer (Sacred)
00000279,War Scepter (1)
0000027A,War Scepter (2)
0000027B,War Scepter (3)
0000027C,War Scepter (4)
0000027D,War Scepter (Sacred)
0000027E,War Staff (1)
0000027F,War Staff (2)
00000280,War Staff (3)
00000281,War Staff (4)
00000282,War Staff (Sacred)
00000283,War Sword (1)
00000284,War Sword (2)
00000285,War Sword (3)
00000286,War Sword (4)
00000287,War Sword (Sacred)
00000288,Warp Blade (1)
00000289,Warp Blade (2)
0000028A,Warp Blade (3)
0000028B,Warp Blade (4)
0000028C,Warp Blade (Sacred)
0000028D,Wrist Blade (1)
0000028E,Wrist Blade (2)
0000028F,Wrist Blade (3)
00000290,Wrist Blade (4)
00000291,Wrist Blade (Sacred)
00000292,Yew Wand (1)
00000293,Yew Wand (2)
00000294,Yew Wand (3)
00000295,Yew Wand (4)
00000296,Yew Wand (Sacred)
000002B4,Aerin Shield (1)
000002B5,Aerin Shield (2)
000002B6,Aerin Shield (3)
000002B7,Aerin Shield (4)
000002B8,Aerin Shield (Sacred)
000002B9,Ancient Armor (1)
000002BA,Ancient Armor (2)
000002BB,Ancient Armor (3)
000002BC,Ancient Armor (4)
000002BD,Ancient Armor (Sacred)
000002BE,Antlers (1)
000002BF,Antlers (2)
000002C0,Antlers (3)
000002C1,Antlers (4)
000002C2,Antlers (Sacred)
000002C3,Aspis (1)
000002C4,Aspis (2)
000002C5,Aspis (3)
000002C6,Aspis (4)
000002C7,Aspis (Sacred)
000002C8,Assault Helmet (1)
000002C9,Assault Helmet (2)
000002CA,Assault Helmet (3)
000002CB,Assault Helmet (4)
000002CC,Assault Helmet (Sacred)
000002CD,Athulua's Hand (1)
000002CE,Athulua's Hand (2)
000002CF,Athulua's Hand (3)
000002D0,Athulua's Hand (4)
000002D1,Athulua's Hand (Sacred)
000002D2,Avenger Guard (1)
000002D3,Avenger Guard (2)
000002D4,Avenger Guard (3)
000002D5,Avenger Guard (4)
000002D6,Avenger Guard (Sacred)
000002D7,Banded Plate (1)
000002D8,Banded Plate (2)
000002D9,Banded Plate (3)
000002DA,Banded Plate (4)
000002DB,Banded Plate (Sacred)
000002DC,Belt (1)
000002DD,Belt (2)
000002DE,Belt (3)
000002DF,Belt (4)
000002E0,Belt (Sacred)
000002E1,Blackguard Helm (1)
000002E2,Blackguard Helm (2)
000002E3,Blackguard Helm (3)
000002E4,Blackguard Helm (4)
000002E5,Blackguard Helm (Sacred)
000002E6,Bladed Shield (1)
000002E7,Bladed Shield (2)
000002E8,Bladed Shield (3)
000002E9,Bladed Shield (4)
000002EA,Bladed Shield (Sacred)
000002EB,Bone Helm (1)
000002EC,Bone Helm (2)
000002ED,Bone Helm (3)
000002EE,Bone Helm (4)
000002EF,Bone Helm (Sacred)
000002F0,Bone Shield (1)
000002F1,Bone Shield (2)
000002F2,Bone Shield (3)
000002F3,Bone Shield (4)
000002F4,Bone Shield (Sacred)
000002F5,Boots (1)
000002F6,Boots (2)
000002F7,Boots (3)
000002F8,Boots (4)
000002F9,Boots (Sacred)
000002FA,Breast Plate (1)
000002FB,Breast Plate (2)
000002FC,Breast Plate (3)
000002FD,Breast Plate (4)
000002FE,Breast Plate (Sacred)
000002FF,Bronze Shield (1)
00000300,Bronze Shield (2)
00000301,Bronze Shield (3)
00000302,Bronze Shield (4)
00000303,Bronze Shield (Sacred)
00000304,Buckler (1)
00000305,Buckler (2)
00000306,Buckler (3)
00000307,Buckler (4)
00000308,Buckler (Sacred)
00000309,Bull Shield (1)
0000030A,Bull Shield (2)
0000030B,Bull Shield (3)
0000030C,Bull Shield (4)
0000030D,Bull Shield (Sacred)
0000030E,Cap (1)
0000030F,Cap (2)
00000310,Cap (3)
00000311,Cap (4)
00000312,Cap (Sacred)
00000313,Ceremonial Armor (1)
00000314,Ceremonial Armor (2)
00000315,Ceremonial Armor (3)
00000316,Ceremonial Armor (4)
00000317,Ceremonial Armor (Sacred)
00000318,Cervelliere (1)
00000319,Cervelliere (2)
0000031A,Cervelliere (3)
0000031B,Cervelliere (4)
0000031C,Cervelliere (Sacred)
0000031D,Chain Boots (1)
0000031E,Chain Boots (2)
0000031F,Chain Boots (3)
00000320,Chain Boots (4)
00000321,Chain Boots (Sacred)
00000322,Chain Gloves (1)
00000323,Chain Gloves (2)
00000324,Chain Gloves (3)
00000325,Chain Gloves (4)
00000326,Chain Gloves (Sacred)
00000327,Chain Mail (1)
00000328,Chain Mail (2)
00000329,Chain Mail (3)
0000032A,Chain Mail (4)
0000032B,Chain Mail (Sacred)
0000032C,Circlet (1)
0000032D,Circlet (2)
0000032E,Circlet (3)
0000032F,Circlet (4)
00000330,Circlet (Sacred)
00000331,Coronet (1)
00000332,Coronet (2)
00000333,Coronet (3)
00000334,Coronet (4)
00000335,Coronet (Sacred)
00000336,Crown (1)
00000337,Crown (2)
00000338,Crown (3)
00000339,Crown (4)
0000033A,Crown (Sacred)
0000033B,Crown Shield (1)
0000033C,Crown Shield (2)
0000033D,Crown Shield (3)
0000033E,Crown Shield (4)
0000033F,Crown Shield (Sacred)
00000340,Demon Head (1)
00000341,Demon Head (2)
00000342,Demon Head (3)
00000343,Demon Head (4)
00000344,Demon Head (Sacred)
00000345,Diadem (1)
00000346,Diadem (2)
00000347,Diadem (3)
00000348,Diadem (4)
00000349,Diadem (Sacred)
0000034A,Einherjar Helm (1)
0000034B,Einherjar Helm (2)
0000034C,Einherjar Helm (3)
0000034D,Einherjar Helm (4)
0000034E,Einherjar Helm (Sacred)
0000034F,Falcon Mask (1)
00000350,Falcon Mask (2)
00000351,Falcon Mask (3)
00000352,Falcon Mask (4)
00000353,Falcon Mask (Sacred)
00000354,Fanged Helm (1)
00000355,Fanged Helm (2)
00000356,Fanged Helm (3)
00000357,Fanged Helm (4)
00000358,Fanged Helm (Sacred)
00000359,Field Plate (1)
0000035A,Field Plate (2)
0000035B,Field Plate (3)
0000035C,Field Plate (4)
0000035D,Field Plate (Sacred)
0000035E,Full Helm (1)
0000035F,Full Helm (2)
00000360,Full Helm (3)
00000361,Full Helm (4)
00000362,Full Helm (Sacred)
00000363,Full Plate Mail (1)
00000364,Full Plate Mail (2)
00000365,Full Plate Mail (3)
00000366,Full Plate Mail (4)
00000367,Full Plate Mail (Sacred)
00000368,Gambeson (1)
00000369,Gambeson (2)
0000036A,Gambeson (3)
0000036B,Gambeson (4)
0000036C,Gambeson (Sacred)
0000036D,Gargoyle Head (1)
0000036E,Gargoyle Head (2)
0000036F,Gargoyle Head (3)
00000370,Gargoyle Head (4)
00000371,Gargoyle Head (Sacred)
00000372,Gauntlets (1)
00000373,Gauntlets (2)
00000374,Gauntlets (3)
00000375,Gauntlets (4)
00000376,Gauntlets (Sacred)
00000377,Gilded Shield (1)
00000378,Gilded Shield (2)
00000379,Gilded Shield (3)
0000037A,Gilded Shield (4)
0000037B,Gilded Shield (Sacred)
0000037C,Gothic Plate (1)
0000037D,Gothic Plate (2)
0000037E,Gothic Plate (3)
0000037F,Gothic Plate (4)
00000380,Gothic Plate (Sacred)
00000381,Gothic Shield (1)
00000382,Gothic Shield (2)
00000383,Gothic Shield (3)
00000384,Gothic Shield (4)
00000385,Gothic Shield (Sacred)
00000386,Great Helm (1)
00000387,Great Helm (2)
00000388,Great Helm (3)
00000389,Great Helm (4)
0000038A,Great Helm (Sacred)
0000038B,Greaves (1)
0000038C,Greaves (2)
0000038D,Greaves (3)
0000038E,Greaves (4)
0000038F,Greaves (Sacred)
00000390,Hard Leather Armor (1)
00000391,Hard Leather Armor (2)
00000392,Hard Leather Armor (3)
00000393,Hard Leather Armor (4)
00000394,Hard Leather Armor (Sacred)
00000395,Hawk Helm (1)
00000396,Hawk Helm (2)
00000397,Hawk Helm (3)
00000398,Hawk Helm (4)
00000399,Hawk Helm (Sacred)
0000039A,Heavy Belt (1)
0000039B,Heavy Belt (2)
0000039C,Heavy Belt (3)
0000039D,Heavy Belt (4)
0000039E,Heavy Belt (Sacred)
0000039F,Heavy Boots (1)
000003A0,Heavy Boots (2)
000003A1,Heavy Boots (3)
000003A2,Heavy Boots (4)
000003A3,Heavy Boots (Sacred)
000003A4,Heavy Gloves (1)
000003A5,Heavy Gloves (2)
000003A6,Heavy Gloves (3)
000003A7,Heavy Gloves (4)
000003A8,Heavy Gloves (Sacred)
000003A9,Helm (1)
000003AA,Helm (2)
000003AB,Helm (3)
000003AC,Helm (4)
000003AD,Helm (Sacred)
000003AE,Heraldic Shield (1)
000003AF,Heraldic Shield (2)
000003B0,Heraldic Shield (3)
000003B1,Heraldic Shield (4)
000003B2,Heraldic Shield (Sacred)
000003B3,Horned Helm (1)
000003B4,Horned Helm (2)
000003B5,Horned Helm (3)
000003B6,Horned Helm (4)
000003B7,Horned Helm (Sacred)
000003B8,Hundsgugel (1)
000003B9,Hundsgugel (2)
000003BA,Hundsgugel (3)
000003BB,Hundsgugel (4)
000003BC,Hundsgugel (Sacred)
000003BD,Jawbone Cap (1)
000003BE,Jawbone Cap (2)
000003BF,Jawbone Cap (3)
000003C0,Jawbone Cap (4)
000003C1,Jawbone Cap (Sacred)
000003C2,Kazarghand (1)
000003C3,Kazarghand (2)
000003C4,Kazarghand (3)
000003C5,Kazarghand (4)
