Bone Helm (1),2de
Bone Helm (2),2df
Bone Helm (3),2e0
Bone Helm (4),2e1
Bone Helm (Sacred),2e2
Chain Gloves (1),315
Chain Gloves (2),316
Chain Gloves (3),317
Chain Gloves (4),318
Chain Gloves (Sacred),319
Two-handed Sword (1),256
Two-handed Sword (2),257
Two-handed Sword (3),258
Two-handed Sword (4),259
Two-handed Sword (Sacred),25a
Dirk (1),a3
Dirk (2),a4
Dirk (3),a5
Dirk (4),a6
Dirk (Sacred),a7
Zombie Head (1),46e
Zombie Head (2),46f
Zombie Head (3),470
Zombie Head (4),471
Zombie Head (Sacred),472
Gargoyle Head (1),360
Gargoyle Head (2),361
Gargoyle Head (3),362
Gargoyle Head (4),363
Gargoyle Head (Sacred),364
Light Belt (1),3d3
Light Belt (2),3d4
Light Belt (3),3d5
Light Belt (4),3d6
Light Belt (Sacred),3d7
Studded Leather (1),447
Studded Leather (2),448
Studded Leather (3),449
Studded Leather (4),44a
Studded Leather (Sacred),44b
Pillum (1),1b6
Pillum (2),1b7
Pillum (3),1b8
Pillum (4),1b9
Pillum (Sacred),1ba
Pilum (1),1b6
Pilum (2),1b7
Pilum (3),1b8
Pilum (4),1b9
Pilum (Sacred),1ba
Javelin (1),134
Javelin (2),135
Javelin (3),136
Javelin (4),137
Javelin (Sacred),138
Trident (1),251
Trident (2),252
Trident (3),253
Trident (4),254
Trident (Sacred),255
Signet of Gold,6a2
Jewel,4a5
Minor Healing Potion,4b2
Gold,4a7
Long Staff (1),161
Long Staff (2),162
Long Staff (3),163
Long Staff (4),164
Long Staff (Sacred),165
Throwing Axe (1),23d
Throwing Axe (2),23e
Throwing Axe (3),23f
Throwing Axe (4),240
Throwing Axe (Sacred),241
Diadem (1),338
Diadem (2),339
Diadem (3),33a
Diadem (4),33b
Diadem (Sacred),33c
Amulet,4a3
Spear (1),21a
Spear (2),21b
Spear (3),21c
Spear (4),21d
Spear (Sacred),21e
Minor Mana Potion,4b7
Light Healing Potion,4b3
Raptor Scythe (1),1bb
Raptor Scythe (2),1bc
Raptor Scythe (3),1bd
Raptor Scythe (4),1be
Raptor Scythe (Sacred),1bf
Short Bow (1),1f7
Short Bow (2),1f8
Short Bow (3),1f9
Short Bow (4),1fa
Short Bow (Sacred),1fb
Quilted Armor (1),40a
Quilted Armor (2),40b
Quilted Armor (3),40c
Quilted Armor (4),40d
Quilted Armor (Sacred),40e
Boots (1),2e8
Boots (2),2e9
Boots (3),2ea
Boots (4),2eb
Boots (Sacred),2ec
Tir Rune,509
Sacred Globe (1),1d4
Sacred Globe (2),1d5
Sacred Globe (3),1d6
Sacred Globe (4),1d7
Sacred Globe (Sacred),1d8
Circlet (1),31f
Circlet (2),320
Circlet (3),321
Circlet (4),322
Circlet (Sacred),323
Tiara (1),451
Tiara (2),452
Tiara (3),453
Tiara (4),454
Tiara (Sacred),455
Hundsgugel (1),3ab
Hundsgugel (2),3ac
Hundsgugel (3),3ad
Hundsgugel (4),3ae
Hundsgugel (Sacred),3af
Cap (1),301
Cap (2),302
Cap (3),303
Cap (4),304
Cap (Sacred),305
Mammen Axe (1),184
Mammen Axe (2),185
Mammen Axe (3),186
Mammen Axe (4),187
Mammen Axe (Sacred),188
Targe (1),44c
Targe (2),44d
Targe (3),44e
Targe (4),44f
Targe (Sacred),450
Sash (1),419
Sash (2),41a
Sash (3),41b
Sash (4),41c
Sash (Sacred),41d
Bronze Shield (1),2f2
Bronze Shield (2),2f3
Bronze Shield (3),2f4
Bronze Shield (4),2f5
Bronze Shield (Sacred),2f6
Athulua's Hand (1),2c0
Athulua's Hand (2),2c1
Athulua's Hand (3),2c2
Athulua's Hand (4),2c3
Athulua's Hand (Sacred),2c4
Rejuvenation Potion,4bc
Spiked Club (1),224
Spiked Club (2),225
Spiked Club (3),226
Spiked Club (4),227
Spiked Club (Sacred),228
Buckler (1),2f7
Buckler (2),2f8
Buckler (3),2f9
Buckler (4),2fa
Buckler (Sacred),2fb
Hand Axe (1),10c
Hand Axe (2),10d
Hand Axe (3),10e
Hand Axe (4),10f
Hand Axe (Sacred),110
Needle Crossbow (1),1a7
Needle Crossbow (2),1a8
Needle Crossbow (3),1a9
Needle Crossbow (4),1aa
Needle Crossbow (Sacred),1ab
Grim Wand (1),fd
Grim Wand (2),fe
Grim Wand (3),ff
Grim Wand (4),100
Grim Wand (Sacred),101
Leather Gloves (1),3ce
Leather Gloves (2),3cf
Leather Gloves (3),3d0
Leather Gloves (4),3d1
Leather Gloves (Sacred),3d2
Unraveller Head (1),464
Unraveller Head (2),465
Unraveller Head (3),466
Unraveller Head (4),467
Unraveller Head (Sacred),468
Scimitar (1),1de
Scimitar (2),1df
Scimitar (3),1e0
Scimitar (4),1e1
Scimitar (Sacred),1e2
Heraldic Shield (1),3a1
Heraldic Shield (2),3a2
Heraldic Shield (3),3a3
Heraldic Shield (4),3a4
Heraldic Shield (Sacred),3a5
Hunter's Bow (1),12a
Hunter's Bow (2),12b
Hunter's Bow (3),12c
Hunter's Bow (4),12d
Hunter's Bow (Sacred),12e
Hexblade (1),120
Hexblade (2),121
Hexblade (3),122
Hexblade (4),123
Hexblade (Sacred),124
Katar (1),139
Katar (2),13a
Katar (3),13b
Katar (4),13c
Katar (Sacred),13d
Bone Wand (1),49
Bone Wand (2),4a
Bone Wand (3),4b
Bone Wand (4),4c
Bone Wand (Sacred),4d
Throwing Knife (1),242
Throwing Knife (2),243
Throwing Knife (3),244
Throwing Knife (4),245
Throwing Knife (Sacred),246
Jawbone Cap (1),3b0
Jawbone Cap (2),3b1
Jawbone Cap (3),3b2
Jawbone Cap (4),3b3
Jawbone Cap (Sacred),3b4
Heavy Boots (1),392
Heavy Boots (2),393
Heavy Boots (3),394
Heavy Boots (4),395
Heavy Boots (Sacred),396
Hatchet Hands (1),116
Hatchet Hands (2),117
Hatchet Hands (3),118
Hatchet Hands (4),119
Hatchet Hands (Sacred),11a
Axe (1),17
Axe (2),18
Axe (3),19
Axe (4),1a
Axe (Sacred),1b
Spangenhelm (1),432
Spangenhelm (2),433
Spangenhelm (3),434
Spangenhelm (4),435
Spangenhelm (Sacred),436
Short Staff (1),201
Short Staff (2),202
Short Staff (3),203
Short Staff (4),204
Short Staff (Sacred),205
Bonebreaker (1),4e
Bonebreaker (2),4f
Bonebreaker (3),50
Bonebreaker (4),51
Bonebreaker (Sacred),52
Eld Rune,508
Ort Rune,50f
El Rune,507
Ring,4a4
Skull Cap (1),428
Skull Cap (2),429
Skull Cap (3),42a
Skull Cap (4),42b
Skull Cap (Sacred),42c
Eagle Orb (1),b2
Eagle Orb (2),b3
Eagle Orb (3),b4
Eagle Orb (4),b5
Eagle Orb (Sacred),b6
Phoenix Shield (1),3f6
Phoenix Shield (2),3f7
Phoenix Shield (3),3f8
Phoenix Shield (4),3f9
Phoenix Shield (Sacred),3fa
Blackguard Helm (1),2d4
Blackguard Helm (2),2d5
Blackguard Helm (3),2d6
Blackguard Helm (4),2d7
Blackguard Helm (Sacred),2d8
Gnarled Staff (1),df
Gnarled Staff (2),e0
Gnarled Staff (3),e1
Gnarled Staff (4),e2
Gnarled Staff (Sacred),e3
Ono (1),1ac
Ono (2),1ad
Ono (3),1ae
Ono (4),1af
Ono (Sacred),1b0
Heavy Gloves (1),397
Heavy Gloves (2),398
